# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 1.87630782746791, Chi^2 = 3.22884087725121
#  q       exp_intensity   model_intensity error
0.00000000 7122736.00000000 7121346.23360302 1068.41040039
0.00100000 7122028.50000000 7120056.74104860 2563.93041992
0.00200000 7119773.00000000 7119234.44914321 4165.06738281
0.00300000 7116045.50000000 7114556.34465237 4696.58984375
0.00400000 7110838.00000000 7109543.78829129 5866.44140625
0.00500000 7104140.50000000 7102743.57964759 7033.09960938
0.00600000 7095954.00000000 7096927.96353636 10431.05273438
0.00700000 7086302.50000000 7087263.57099403 11904.98828125
0.00800000 7075183.50000000 7077737.08707701 10506.64746094
0.00900000 7062585.00000000 7064379.18257631 19068.98046875
0.01000000 7048543.00000000 7050668.53220405 13956.11621094
0.01100000 7033048.00000000 7036894.08736565 13925.43652344
0.01200000 7016147.00000000 7019745.57197651 20522.23046875
0.01300000 6997781.00000000 7002309.04333585 19103.94335938
0.01400000 6978007.00000000 6984916.13885218 17270.56835938
0.01500000 6956853.50000000 6963674.92701437 25044.67382812
0.01600000 6934279.50000000 6940667.17135700 22987.13671875
0.01700000 6910311.00000000 6918867.28886356 18657.83984375
0.01800000 6885000.00000000 6895249.73316227 27471.15234375
0.01900000 6858361.00000000 6870423.83522008 28805.11718750
0.02000000 6830339.00000000 6842379.60027684 23667.12695312
0.02100000 6801037.00000000 6814660.90474165 22443.42382812
0.02200000 6770403.50000000 6784841.21351666 32701.05078125
0.02300000 6738509.00000000 6754665.02380445 33962.08984375
0.02400000 6705336.50000000 6722268.69285539 25145.01171875
0.02500000 6670932.00000000 6690282.33516663 31219.96289062
0.02600000 6635267.50000000 6654725.36368220 59120.23437500
0.02700000 6598427.50000000 6622120.76256429 27713.39648438
0.02800000 6560403.50000000 6584853.06741817 28537.75585938
0.02900000 6521195.50000000 6545936.56676865 35214.45703125
0.03000000 6480863.50000000 6509333.08459345 45204.02343750
0.03100000 6439414.50000000 6467848.38760509 34000.10937500
0.03200000 6396857.50000000 6427298.09191481 31664.44531250
0.03300000 6353262.00000000 6385857.01908344 35641.80078125
0.03400000 6308590.00000000 6343031.70015236 33120.09765625
0.03500000 6262904.50000000 6298815.09896721 43965.58984375
0.03600000 6216216.50000000 6254108.78143909 48300.00390625
0.03700000 6168572.00000000 6207170.59575019 45709.11718750
0.03800000 6119986.50000000 6160888.17964700 46542.50000000
0.03900000 6070470.00000000 6114215.49151569 36422.82031250
0.04000000 6020078.00000000 6064730.21795101 44428.17968750
0.04100000 5968827.50000000 6014901.11097694 37603.61328125
0.04200000 5916735.00000000 5965141.89646945 45795.53125000
0.04300000 5863836.00000000 5914251.26834200 65792.24218750
0.04400000 5810157.00000000 5862684.70031970 90202.69531250
0.04500000 5755735.50000000 5809373.16601785 43686.03515625
0.04600000 5700588.50000000 5757263.40687950 52245.89843750
0.04700000 5644760.50000000 5702675.04510106 56899.18750000
0.04800000 5588271.00000000 5648113.42070916 53395.92968750
0.04900000 5531136.50000000 5592324.22192115 41483.52734375
0.05000000 5473421.00000000 5538007.92477769 62807.50781250
0.05100000 5415120.50000000 5480226.55615386 50685.53125000
0.05200000 5356289.00000000 5423351.44421070 55357.24609375
0.05300000 5296947.50000000 5364929.31646379 60067.38671875
0.05400000 5237097.00000000 5308181.32437593 56167.86718750
0.05500000 5176811.00000000 5249607.68477195 56530.78125000
0.05600000 5116100.00000000 5190626.41729246 56865.45312500
0.05700000 5055010.50000000 5131350.56948405 43978.59375000
0.05800000 4993558.50000000 5070748.17204162 48612.29296875
0.05900000 4931759.50000000 5010883.63265234 44385.83984375
0.06000000 4869653.50000000 4949481.92807541 57924.53125000
0.06100000 4807307.50000000 4889242.59619759 49178.75781250
0.06200000 4744688.00000000 4829529.56866539 44837.30468750
0.06300000 4681851.00000000 4766679.35444565 62924.07812500
0.06400000 4618855.50000000 4706127.14823760 67550.76562500
0.06500001 4555698.50000000 4644580.96795796 54121.70312500
0.06600000 4492394.00000000 4582390.74501653 58693.12890625
0.06700000 4429009.00000000 4520505.89117403 58728.66015625
0.06800000 4365554.50000000 4458807.26088340 45183.49218750
0.06900001 4302051.00000000 4395329.89077234 45171.53906250
0.07000000 4238544.50000000 4333335.74199888 81252.89843750
0.07100000 4175040.25000000 4270313.84561293 63126.60937500
0.07200000 4111576.00000000 4208264.81483553 58528.28906250
0.07300001 4048197.50000000 4145431.01830928 53921.99609375
0.07400000 3984897.00000000 4083653.11401294 53796.10937500
0.07500000 3921724.25000000 4022122.88234983 44707.66015625
0.07600001 3858686.00000000 3960562.16068452 57938.17578125
0.07700001 3795836.75000000 3896731.57562494 62175.81250000
0.07800000 3733167.00000000 3835240.04281077 57509.43750000
0.07900000 3670719.25000000 3773861.08846624 52858.35937500
0.08000001 3608529.00000000 3711927.68515870 48227.99218750
0.08100000 3546582.50000000 3651352.02510282 61072.15234375
0.08200000 3484938.50000000 3589591.00757693 52064.98437500
0.08300000 3423604.25000000 3528756.18250237 64706.12500000
0.08400001 3362607.25000000 3468660.15363488 60022.54296875
0.08500000 3301967.00000000 3407955.26287737 46854.91406250
0.08600000 3241699.00000000 3347798.48854397 63456.26171875
0.08700000 3181832.25000000 3288105.63132090 50400.22656250
0.08800001 3122365.75000000 3228793.19550986 50020.30468750
0.08900000 3063350.75000000 3170144.73813126 70303.89843750
0.09000000 3004787.25000000 3111897.81062774 57421.48828125
0.09100001 2946690.25000000 3053254.04401870 40664.32812500
0.09200001 2889078.25000000 2994920.10273968 44332.91015625
0.09300000 2831982.25000000 2937728.59838911 63889.51953125
0.09400000 2775400.75000000 2881903.28067542 55369.24609375
0.09500001 2719365.25000000 2824705.44378593 46990.63281250
0.09600000 2663879.00000000 2769032.10700626 46511.32812500
0.09700000 2608950.00000000 2713302.48099176 53692.19140625
0.09800000 2554615.75000000 2658673.07497960 49316.85937500
0.09900001 2500876.25000000 2604246.54475128 52518.40625000
0.10000000 2447737.00000000 2551063.77207409 48208.17968750
0.10100000 2395217.00000000 2497384.24689959 51305.55078125
0.10200001 2343328.25000000 2445001.71951082 36204.42187500
0.10300001 2292074.50000000 2392779.85097977 46483.27343750
0.10400000 2241485.00000000 2341147.37764503 35303.39062500
0.10500000 2191564.50000000 2290700.73085725 38330.46484375
0.10600001 2142285.50000000 2240176.45183311 51575.52734375
0.10700001 2093696.00000000 2191147.35560898 37309.66406250
0.10800000 2045801.12500000 2142105.59430702 33448.84765625
0.10900000 1998591.37500000 2093677.15112616 46167.46093750
0.11000001 1952086.75000000 2046008.61261542 52003.59375000
0.11100001 1906272.50000000 1998678.98220602 48038.07031250
0.11200000 1861187.00000000 1952627.00015789 37856.54296875
0.11300001 1816805.37500000 1906587.44864911 52814.53515625
0.11400001 1773153.50000000 1861800.91896137 33645.58984375
0.11500000 1730221.00000000 1817589.71216122 39137.60156250
0.11600000 1688015.37500000 1774140.40360826 32587.13867188
0.11700001 1646536.25000000 1731199.57447655 32058.06250000
0.11800001 1605791.12500000 1688551.44936592 28663.37304688
0.11900000 1565771.00000000 1647264.93739184 39457.42968750
0.12000000 1526491.87500000 1606706.19831633 36017.57812500
0.12100001 1487944.50000000 1566446.96487779 38121.14062500
0.12200001 1450128.75000000 1526725.17636258 29430.36523438
0.12300000 1413054.37500000 1488178.42562432 31539.37500000
0.12400001 1376702.37500000 1450118.34222880 38719.75781250
0.12500000 1341083.37500000 1412961.81832146 27881.12304688
0.12600000 1306199.25000000 1376534.00546660 34836.33593750
0.12700000 1272034.62500000 1340907.02424636 36634.59765625
0.12800001 1238595.25000000 1305197.60275095 28760.18359375
0.12900001 1205871.12500000 1270767.00230919 35271.73437500
0.13000001 1173868.87500000 1237038.02372567 29986.48242188
0.13100001 1142576.25000000 1203804.97675480 31672.21679688
0.13200000 1111991.37500000 1171454.96715523 37713.18750000
0.13300000 1082113.37500000 1140046.98135429 23925.52734375
0.13400000 1052921.62500000 1108925.48430475 23453.83007812
0.13500001 1024420.12500000 1078738.27128406 22987.98828125
0.13600001 996614.37500000 1048821.36385975 28672.59765625
0.13700001 969486.68750000 1019981.69166690 30102.56445312
0.13800001 943022.81250000 991389.34029955 21628.23046875
0.13900001 917229.68750000 963975.13434399 34671.28515625
0.14000000 892091.62500000 936908.51441347 22641.28515625
0.14100000 867604.56250000 910642.72611757 22175.97265625
0.14200000 843760.37500000 884900.89678248 28957.85742188
0.14300001 820547.18750000 859921.02432920 17723.82031250
0.14400001 797957.31250000 835431.57183433 24297.80078125
0.14500001 775987.31250000 811560.71457633 27190.59765625
0.14600001 754628.25000000 788251.75287803 21631.41992188
0.14700000 733868.62500000 765945.03273270 19550.25976562
0.14800000 713696.00000000 743556.10685068 20736.43750000
0.14900000 694102.31250000 722475.37796674 17179.03320312
0.15000001 675080.18750000 701724.52745272 16819.62304688
0.15100001 656620.87500000 681574.62315506 19462.24414062
0.15200001 638715.31250000 661912.55889255 16124.36914062
0.15300001 621349.50000000 642515.99218762 15788.49218750
0.15400001 604509.62500000 624052.30228066 21082.27539062
0.15500000 588195.18750000 606058.62748448 15140.14453125
0.15600000 572392.56250000 588518.66737483 17523.79882812
0.15700001 557085.93750000 571606.85994505 17163.81835938
0.15800001 542270.68750000 555211.68214863 21986.36523438
0.15900001 527930.87500000 539409.88670266 15204.41015625
0.16000001 514061.40625000 523751.21836314 18621.87500000
0.16100001 500658.31250000 508988.42837662 14599.19726562
0.16200000 487694.87500000 494375.39120859 13116.55371094
0.16300000 475170.68750000 480246.44146004 14027.03906250
0.16400000 463074.37500000 466611.45906438 11461.09082031
0.16500001 451390.09375000 453704.16161536 12363.57519531
0.16600001 440115.75000000 440918.14987701 13229.87988281
0.16700001 429227.59375000 428530.44310966 11898.18945312
0.16800001 418730.12500000 416834.24372866 12737.77148438
0.16900001 408605.25000000 405404.21620338 13545.26562500
0.17000000 398841.78125000 394268.53446852 10230.29199219
0.17100000 389430.93750000 383645.75906869 13061.51367188
0.17200001 380361.09375000 373268.16433076 10857.40820312
0.17300001 371625.59375000 363298.78381453 13579.20019531
0.17400001 363213.28125000 353804.28508252 15254.95898438
0.17500001 355111.40625000 344522.65933699 10312.43554688
0.17600001 347309.34375000 335743.79613730 13831.59570312
0.17700000 339803.68750000 327005.00970010 14516.41406250
0.17800000 332577.50000000 318829.35014963 10715.64746094
0.17900001 325624.31250000 310838.77077595 8791.85644531
0.18000001 318936.62500000 303199.14891794 10390.95605469
0.18100001 312506.25000000 295863.89937031 12797.13183594
0.18200001 306315.34375000 288798.10521709 12612.53515625
0.18300001 300360.90625000 282086.72802210 10776.95019531
0.18400002 294632.28125000 275460.86941980 8993.65136719
