# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1739148.00000000 286.95941162
0.00100000 1738924.00000000 521.67718506
0.00200000 1738476.00000000 1095.23986816
0.00300000 1737892.00000000 1042.73522949
0.00400000 1737040.00000000 1693.61401367
0.00500000 1735864.00000000 1718.50549316
0.00600000 1734432.00000000 1821.15356445
0.00700000 1732784.00000000 3326.94531250
0.00800000 1730692.00000000 2803.72119141
0.00900000 1728480.00000000 2851.99218750
0.01000000 1726016.00000000 3417.51196289
0.01100000 1723384.00000000 4032.71875000
0.01200000 1720360.00000000 3354.70214844
0.01300000 1717224.00000000 4327.40478516
0.01400000 1713788.00000000 5012.83007812
0.01500000 1710064.00000000 4924.98437500
0.01600000 1706008.00000000 6960.51318359
0.01700000 1701824.00000000 5054.41748047
0.01800000 1697400.00000000 8707.66210938
0.01900000 1692704.00000000 8124.97949219
0.02000000 1687728.00000000 6911.24658203
0.02100000 1682536.00000000 6107.60595703
0.02200000 1677120.00000000 6364.67089844
0.02300000 1671432.00000000 8424.01757812
0.02400000 1665580.00000000 7495.10986328
0.02500000 1659412.00000000 11001.90136719
0.02600000 1653180.00000000 8034.45507812
0.02700000 1646744.00000000 8991.22265625
0.02800000 1639888.00000000 7133.51318359
0.02900000 1632900.00000000 8082.85546875
0.03000000 1625724.00000000 9071.54003906
0.03100000 1618260.00000000 7767.64843750
0.03200000 1610628.00000000 8769.87011719
0.03300000 1602836.00000000 8991.91015625
0.03400000 1594920.00000000 8373.33007812
0.03500000 1586636.00000000 10281.40136719
0.03600000 1578244.00000000 11387.03125000
0.03700000 1569660.00000000 10736.47460938
0.03800000 1560904.00000000 10957.54687500
0.03900000 1551948.00000000 11174.02539062
0.04000000 1542716.00000000 12334.01562500
0.04100000 1533452.00000000 10626.82226562
0.04200000 1524072.00000000 11796.31835938
0.04300000 1514340.00000000 17990.35937500
0.04400000 1504644.00000000 11171.98242188
0.04500000 1494688.00000000 11344.68261719
0.04600000 1484492.00000000 11512.23632812
0.04700000 1474364.00000000 10615.42089844
0.04800000 1464024.00000000 12912.69140625
0.04900000 1453524.00000000 15262.00292969
0.05000000 1442792.00000000 14348.56640625
0.05100000 1431888.00000000 14519.34472656
0.05200000 1420964.00000000 12426.33007812
0.05300000 1409956.00000000 17130.96679688
0.05400000 1398748.00000000 15001.57226562
0.05500000 1387448.00000000 16316.38964844
0.05600000 1376100.00000000 11765.65527344
0.05700000 1364648.00000000 15434.16992188
0.05800000 1353080.00000000 16764.66210938
0.05900000 1341368.00000000 13279.54394531
0.06000000 1329576.00000000 12165.62109375
0.06100000 1317760.00000000 14706.20312500
0.06200000 1305752.00000000 16041.16406250
0.06300000 1293844.00000000 16147.17382812
0.06400000 1281636.00000000 14995.14160156
0.06500001 1269476.00000000 12567.81347656
0.06600000 1257220.00000000 16425.58007812
0.06700000 1245040.00000000 13969.34960938
0.06800000 1232712.00000000 14034.42675781
0.06900001 1220196.00000000 14093.26464844
0.07000000 1207872.00000000 16722.98828125
0.07100000 1195380.00000000 18074.14648438
0.07200000 1182876.00000000 12952.49316406
0.07300001 1170380.00000000 14290.34082031
0.07400000 1157724.00000000 16931.71289062
0.07500000 1145180.00000000 15666.06347656
0.07600001 1132576.00000000 14389.37890625
0.07700001 1119860.00000000 18343.30859375
0.07800000 1107292.00000000 15745.69238281
0.07900000 1094660.00000000 15763.10449219
0.08000001 1082036.00000000 15776.08593750
0.08100000 1069320.00000000 17098.42773438
0.08200000 1056692.00000000 18418.14257812
0.08300000 1044116.00000000 13155.86230469
0.08400001 1031436.00000000 21041.29687500
0.08500000 1018860.00000000 21029.27148438
0.08600000 1006244.00000000 18384.07812500
0.08700000 993644.00000000 13116.10156250
0.08800001 981200.00000000 15718.82519531
0.08900000 968668.00000000 14384.71972656
0.09000000 956216.00000000 14357.58398438
0.09100001 943796.00000000 16931.70117188
0.09200001 931406.00000000 14292.42578125
0.09300000 919102.00000000 12959.33886719
0.09400000 906802.00000000 16798.50781250
0.09500001 894518.00000000 12881.05957031
0.09600000 882350.00000000 14122.01171875
0.09700000 870258.00000000 14072.07226562
0.09800000 858218.00000000 19116.80664062
0.09900001 846204.00000000 15231.67285156
0.10000000 834284.00000000 15167.28320312
0.10100000 822352.00000000 16356.58203125
0.10200001 810620.00000000 17533.71093750
0.10300001 798846.00000000 12461.99804688
0.10400000 787280.00000000 13639.62597656
0.10500000 775676.00000000 13566.57421875
0.10600001 764254.00000000 15946.16015625
0.10700001 752864.00000000 17074.95703125
0.10800000 741466.00000000 12122.96972656
0.10900000 730314.00000000 14460.21777344
0.11000001 719078.00000000 19156.23828125
0.11100001 708112.00000000 16654.79492188
0.11200000 697174.00000000 15362.22949219
0.11300001 686342.00000000 12910.09375000
0.11400001 675536.00000000 13983.59570312
0.11500000 664960.00000000 16198.42578125
0.11600000 654332.00000000 18373.64257812
0.11700001 643934.00000000 11397.63281250
0.11800001 633598.00000000 11309.72460938
0.11900000 623370.00000000 15708.92480469
0.12000000 613234.00000000 12243.21777344
0.12100001 603234.00000000 11039.18261719
0.12200001 593298.00000000 10946.34863281
0.12300000 583486.00000000 15193.97558594
0.12400001 573804.00000000 11834.70800781
0.12500000 564178.00000000 10662.96386719
0.12600000 554688.00000000 16906.89062500
0.12700000 545350.00000000 11517.79199219
0.12800001 536098.00000000 13485.54589844
0.12900001 527026.00000000 11304.70800781
0.13000001 518012.00000000 10178.93652344
0.13100001 509070.00000000 10079.58691406
0.13200000 500332.00000000 11977.94824219
0.13300000 491664.00000000 11858.93554688
0.13400000 483028.00000000 11737.58105469
0.13500001 474612.00000000 13554.91894531
0.13600001 466284.00000000 17247.84570312
0.13700001 458102.00000000 12327.52539062
0.13800001 450079.00000000 11260.97753906
0.13900001 442040.00000000 10211.12500000
0.14000000 434199.00000000 11019.97070312
0.14100000 426448.00000000 13625.01367188
0.14200000 418871.00000000 16172.60937500
0.14300001 411341.00000000 9773.46289062
0.14400001 403985.00000000 8786.67382812
0.14500001 396683.00000000 9556.09375000
0.14600001 389505.00000000 15459.45507812
0.14700000 382471.00000000 9339.94140625
0.14800000 375592.00000000 9233.92968750
0.14900000 368737.00000000 9126.24121094
0.15000001 362059.00000000 13121.01855469
0.15100001 355459.00000000 11346.25195312
0.15200001 348956.00000000 9610.24902344
0.15300001 342588.00000000 10287.91796875
0.15400001 336311.00000000 10165.00097656
0.15500000 330169.00000000 9271.14550781
0.15600000 324119.00000000 9159.60351562
0.15700001 318221.00000000 7541.83789062
0.15800001 312374.00000000 8195.13183594
0.15900001 306633.00000000 8095.11181641
0.16000001 301019.00000000 8723.53125000
0.16100001 295495.00000000 9334.68750000
0.16200000 290055.00000000 9928.58300781
0.16300000 284766.00000000 7705.76806641
0.16400000 279556.00000000 8302.81347656
0.16500001 274435.00000000 10250.14746094
0.16600001 269422.00000000 7423.92382812
0.16700001 264495.00000000 6665.27441406
0.16800001 259642.00000000 7240.11767578
0.16900001 254921.00000000 9750.72949219
0.17000000 250307.00000000 7704.44970703
0.17100000 245732.00000000 6973.87451172
0.17200001 241282.00000000 14400.91699219
0.17300001 236893.00000000 6801.19824219
0.17400001 232647.00000000 8549.77734375
0.17500001 228420.00000000 6633.31738281
0.17600001 224303.00000000 5955.24511719
0.17700000 220296.50000000 5881.91650391
0.17800000 216356.00000000 6970.99023438
0.17900001 212492.50000000 7458.48681641
0.18000001 208711.50000000 9633.08007812
0.18100001 204995.00000000 6156.00000000
0.18200001 201404.00000000 7739.95605469
