# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 7122272.00000000 1388.84301758
0.00100000 7121600.00000000 2563.77612305
0.00200000 7119904.00000000 4805.93554688
0.00300000 7116432.00000000 5123.83105469
0.00400000 7110896.00000000 5866.48925781
0.00500000 7104560.00000000 7672.92529297
0.00600000 7097456.00000000 8942.79492188
0.00700000 7089120.00000000 11059.02734375
0.00800000 7078560.00000000 12422.87304688
0.00900000 7066416.00000000 13779.51171875
0.01000000 7053360.00000000 13965.65332031
0.01100000 7039328.00000000 21540.34570312
0.01200000 7023008.00000000 26020.24414062
0.01300000 7005872.00000000 16183.56445312
0.01400000 6988064.00000000 23584.71679688
0.01500000 6968416.00000000 21741.45898438
0.01600000 6946608.00000000 21256.62109375
0.01700000 6924688.00000000 24305.65625000
0.01800000 6900832.00000000 25567.58398438
0.01900000 6876272.00000000 22691.69921875
0.02000000 6849904.00000000 25892.63867188
0.02100000 6822304.00000000 29267.68554688
0.02200000 6794240.00000000 35160.19531250
0.02300000 6764128.00000000 29221.03515625
0.02400000 6732896.00000000 27773.19531250
0.02500000 6701680.00000000 36591.17187500
0.02600000 6667120.00000000 40502.75390625
0.02700000 6633296.00000000 39003.78125000
0.02800000 6597552.00000000 48788.89843750
0.02900000 6561360.00000000 38383.95703125
0.03000000 6523248.00000000 39433.03515625
0.03100000 6484320.00000000 34237.21093750
0.03200000 6444256.00000000 31899.06835938
0.03300000 6404096.00000000 39193.06640625
0.03400000 6362048.00000000 43420.98046875
0.03500000 6319328.00000000 47774.12109375
0.03600000 6275408.00000000 38311.36718750
0.03700000 6231104.00000000 49724.21093750
0.03800000 6185120.00000000 39801.25000000
0.03900000 6139104.00000000 40518.08593750
0.04000000 6091680.00000000 37463.83593750
0.04100000 6044192.00000000 41886.25000000
0.04200000 5995520.00000000 73475.10156250
0.04300000 5945248.00000000 54934.09375000
0.04400000 5895376.00000000 47752.55078125
0.04500000 5843984.00000000 40323.49218750
0.04600000 5791952.00000000 65333.22265625
0.04700000 5739296.00000000 41322.93359375
0.04800000 5686336.00000000 54332.94140625
0.04900000 5633440.00000000 42250.80078125
0.05000000 5578720.00000000 51212.64843750
0.05100000 5524240.00000000 47397.98046875
0.05200000 5468368.00000000 47820.87890625
0.05300000 5412672.00000000 43842.64453125
0.05400000 5356240.00000000 48607.87890625
0.05500000 5299584.00000000 48968.16015625
0.05600000 5242176.00000000 62748.84765625
0.05700000 5184320.00000000 54124.30468750
0.05800000 5126416.00000000 49905.66015625
0.05900000 5068048.00000000 45612.43359375
0.06000000 5009648.00000000 50422.10937500
0.06100000 4950864.00000000 69064.55468750
0.06200000 4891792.00000000 64718.41015625
0.06300000 4832128.00000000 51027.27343750
0.06400000 4772608.00000000 74452.68750000
0.06500001 4712512.00000000 74646.19531250
0.06600000 4652864.00000000 65465.79687500
0.06700000 4592544.00000000 51528.34375000
0.06800000 4532576.00000000 51603.37890625
0.06900001 4471888.00000000 65736.75781250
0.07000000 4411552.00000000 79871.14843750
0.07100000 4351504.00000000 61095.11718750
0.07200000 4291184.00000000 70482.70312500
0.07300001 4231360.00000000 61058.53125000
0.07400000 4171216.00000000 51618.79687500
0.07500000 4111024.00000000 65611.94531250
0.07600001 4050576.00000000 56140.98828125
0.07700001 3990528.00000000 46689.18359375
0.07800000 3930728.00000000 51237.03906250
0.07900000 3871208.00000000 65036.29687500
0.08000001 3811848.00000000 50945.35156250
0.08100000 3752520.00000000 50771.59765625
0.08200000 3693632.00000000 55182.86328125
0.08300000 3634584.00000000 64114.06640625
0.08400001 3576032.00000000 59272.73437500
0.08500000 3518352.00000000 45386.74218750
0.08600000 3460408.00000000 76769.15625000
0.08700000 3402248.00000000 58382.57812500
0.08800001 3345408.00000000 58059.55859375
0.08900000 3288560.00000000 66593.34375000
0.09000000 3232120.00000000 52942.12890625
0.09100001 3176168.00000000 48214.23437500
0.09200001 3119976.00000000 52228.40234375
0.09300000 3065200.00000000 47541.25390625
0.09400000 3010488.00000000 64349.18359375
0.09500001 2956376.00000000 46829.00000000
0.09600000 2902392.00000000 42229.80468750
0.09700000 2849088.00000000 50257.91406250
0.09800000 2796024.00000000 53977.24609375
