# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 7122736.00000000 1068.41040039
0.00100000 7122028.50000000 2563.93041992
0.00200000 7119773.00000000 4165.06738281
0.00300000 7116045.50000000 4696.58984375
0.00400000 7110838.00000000 5866.44140625
0.00500000 7104140.50000000 7033.09960938
0.00600000 7095954.00000000 10431.05273438
0.00700000 7086302.50000000 11904.98828125
0.00800000 7075183.50000000 10506.64746094
0.00900000 7062585.00000000 19068.98046875
0.01000000 7048543.00000000 13956.11621094
0.01100000 7033048.00000000 13925.43652344
0.01200000 7016147.00000000 20522.23046875
0.01300000 6997781.00000000 19103.94335938
0.01400000 6978007.00000000 17270.56835938
0.01500000 6956853.50000000 25044.67382812
0.01600000 6934279.50000000 22987.13671875
0.01700000 6910311.00000000 18657.83984375
0.01800000 6885000.00000000 27471.15234375
0.01900000 6858361.00000000 28805.11718750
0.02000000 6830339.00000000 23667.12695312
0.02100000 6801037.00000000 22443.42382812
0.02200000 6770403.50000000 32701.05078125
0.02300000 6738509.00000000 33962.08984375
0.02400000 6705336.50000000 25145.01171875
0.02500000 6670932.00000000 31219.96289062
0.02600000 6635267.50000000 59120.23437500
0.02700000 6598427.50000000 27713.39648438
0.02800000 6560403.50000000 28537.75585938
0.02900000 6521195.50000000 35214.45703125
0.03000000 6480863.50000000 45204.02343750
0.03100000 6439414.50000000 34000.10937500
0.03200000 6396857.50000000 31664.44531250
0.03300000 6353262.00000000 35641.80078125
0.03400000 6308590.00000000 33120.09765625
0.03500000 6262904.50000000 43965.58984375
0.03600000 6216216.50000000 48300.00390625
0.03700000 6168572.00000000 45709.11718750
0.03800000 6119986.50000000 46542.50000000
0.03900000 6070470.00000000 36422.82031250
0.04000000 6020078.00000000 44428.17968750
0.04100000 5968827.50000000 37603.61328125
0.04200000 5916735.00000000 45795.53125000
0.04300000 5863836.00000000 65792.24218750
0.04400000 5810157.00000000 90202.69531250
0.04500000 5755735.50000000 43686.03515625
0.04600000 5700588.50000000 52245.89843750
0.04700000 5644760.50000000 56899.18750000
0.04800000 5588271.00000000 53395.92968750
0.04900000 5531136.50000000 41483.52734375
0.05000000 5473421.00000000 62807.50781250
0.05100000 5415120.50000000 50685.53125000
0.05200000 5356289.00000000 55357.24609375
0.05300000 5296947.50000000 60067.38671875
0.05400000 5237097.00000000 56167.86718750
0.05500000 5176811.00000000 56530.78125000
0.05600000 5116100.00000000 56865.45312500
0.05700000 5055010.50000000 43978.59375000
0.05800000 4993558.50000000 48612.29296875
0.05900000 4931759.50000000 44385.83984375
0.06000000 4869653.50000000 57924.53125000
0.06100000 4807307.50000000 49178.75781250
0.06200000 4744688.00000000 44837.30468750
0.06300000 4681851.00000000 62924.07812500
0.06400000 4618855.50000000 67550.76562500
0.06500001 4555698.50000000 54121.70312500
0.06600000 4492394.00000000 58693.12890625
0.06700000 4429009.00000000 58728.66015625
0.06800000 4365554.50000000 45183.49218750
0.06900001 4302051.00000000 45171.53906250
0.07000000 4238544.50000000 81252.89843750
0.07100000 4175040.25000000 63126.60937500
0.07200000 4111576.00000000 58528.28906250
0.07300001 4048197.50000000 53921.99609375
0.07400000 3984897.00000000 53796.10937500
0.07500000 3921724.25000000 44707.66015625
0.07600001 3858686.00000000 57938.17578125
0.07700001 3795836.75000000 62175.81250000
0.07800000 3733167.00000000 57509.43750000
0.07900000 3670719.25000000 52858.35937500
0.08000001 3608529.00000000 48227.99218750
0.08100000 3546582.50000000 61072.15234375
0.08200000 3484938.50000000 52064.98437500
0.08300000 3423604.25000000 64706.12500000
0.08400001 3362607.25000000 60022.54296875
0.08500000 3301967.00000000 46854.91406250
0.08600000 3241699.00000000 63456.26171875
0.08700000 3181832.25000000 50400.22656250
0.08800001 3122365.75000000 50020.30468750
0.08900000 3063350.75000000 70303.89843750
0.09000000 3004787.25000000 57421.48828125
0.09100001 2946690.25000000 40664.32812500
0.09200001 2889078.25000000 44332.91015625
0.09300000 2831982.25000000 63889.51953125
0.09400000 2775400.75000000 55369.24609375
0.09500001 2719365.25000000 46990.63281250
0.09600000 2663879.00000000 46511.32812500
0.09700000 2608950.00000000 53692.19140625
0.09800000 2554615.75000000 49316.85937500
0.09900001 2500876.25000000 52518.40625000
0.10000000 2447737.00000000 48208.17968750
0.10100000 2395217.00000000 51305.55078125
0.10200001 2343328.25000000 36204.42187500
0.10300001 2292074.50000000 46483.27343750
0.10400000 2241485.00000000 35303.39062500
0.10500000 2191564.50000000 38330.46484375
0.10600001 2142285.50000000 51575.52734375
0.10700001 2093696.00000000 37309.66406250
0.10800000 2045801.12500000 33448.84765625
0.10900000 1998591.37500000 46167.46093750
0.11000001 1952086.75000000 52003.59375000
0.11100001 1906272.50000000 48038.07031250
0.11200000 1861187.00000000 37856.54296875
0.11300001 1816805.37500000 52814.53515625
0.11400001 1773153.50000000 33645.58984375
0.11500000 1730221.00000000 39137.60156250
0.11600000 1688015.37500000 32587.13867188
0.11700001 1646536.25000000 32058.06250000
0.11800001 1605791.12500000 28663.37304688
0.11900000 1565771.00000000 39457.42968750
0.12000000 1526491.87500000 36017.57812500
0.12100001 1487944.50000000 38121.14062500
0.12200001 1450128.75000000 29430.36523438
0.12300000 1413054.37500000 31539.37500000
0.12400001 1376702.37500000 38719.75781250
0.12500000 1341083.37500000 27881.12304688
0.12600000 1306199.25000000 34836.33593750
0.12700000 1272034.62500000 36634.59765625
0.12800001 1238595.25000000 28760.18359375
0.12900001 1205871.12500000 35271.73437500
